# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_est lean_rate_est steer steer_est steer_rate_est v v_c
20.9 -0.00269057 0 0 0.000942478 0 0 0 2
20.92 -0.0269491 0 0 0.000314159 0 0 0 2
20.94 0.00914857 0 0 0 0 0 0.0150332 2
20.96 0.00918005 0 0 -0.000628319 0 0 0.039216 2
20.98 -0.0314471 0 0 -0.0015708 0 0 0.0612286 2
21 0.00514044 0 0 -0.00282743 0 0 0.0921241 2
21.02 -0.00311518 0 0 -0.00376991 0 0 0.134519 2
21.04 -0.00477133 0 0 -0.00471239 0 0 0.154121 2
21.06 -0.0120577 0 0 -0.00534071 0 0 0.175905 2
21.08 0.00979178 0 0 -0.00565487 0 0 0.210194 2
21.1 0.013341 0 0 -0.00565487 0 0 0.246628 2
21.12 -0.0188803 0 0 -0.00565487 0 0 0.266429 2
21.14 0.00613028 0 0 -0.00565487 0 0 0.292078 2
21.16 0.012327 0 0 -0.00565487 0 0 0.322708 2
21.18 -0.00957053 0 0 -0.00596903 0 0 0.345307 2
21.2 0.00586249 0 0 -0.00659734 0 0 0.369392 2
21.22 0.00561929 0 0 -0.00722566 0 0 0.398352 2
21.24 0.0103672 0 0 -0.00816814 0 0 0.432435 2
21.26 -0.0045432 0 0 -0.00911062 0 0 0.472269 2
21.28 0.00490672 0 0 -0.00942478 0 0 0.492089 2
21.3 -0.00647572 0 0 -0.00973894 0 0 0.518681 2
21.32 -0.00266453 0 0 -0.0103673 0 0 0.54612 2
21.34 0.00397579 0 0 -0.0116239 0 0 0.571277 2
21.36 -0.00363509 0 0 -0.0125664 0 0 0.60083 2
21.38 -0.00219625 0 0 -0.0131947 0 0 0.644133 2
21.4 -0.00475471 0 0 -0.013823 0 0 0.668387 2
21.42 -0.00170709 0 0 -0.0144513 0 0 0.703056 2
21.44 -0.000725785 0 0 -0.0150796 0 0 0.721421 2
21.46 0.00141037 0 0 -0.0163363 0 0 0.747604 2
21.48 0.0011941 0 0 -0.0179071 0 0 0.78047 2
21.5 0.0028065 0 0 -0.0194779 0 0 0.81336 2
21.52 -0.00105301 0 0 -0.0210487 0 0 0.845092 2
21.54 0.0010712 0 0 -0.0219911 0 0 0.871458 2
21.56 0.011485 0 0 -0.0232478 0 0 0.919844 2
21.58 0.0209687 0 0 -0.0245044 0 0 0.934805 2
21.6 0.01479 0 0 -0.0263894 0 0 0.962549 2
21.62 0.0197894 7.72363e-05 0.0201988 -0.0279602 -0.0283362 -0.084064 1.0006 2
21.64 0.0245714 0.00283076 0.0248819 -0.029531 -0.0298947 -0.090909 1.03841 2
21.66 0.027087 0.00444189 0.0289632 -0.0311018 -0.0315665 -0.0978982 1.0608 2
21.68 0.0341132 0.00857751 0.0270626 -0.0270177 -0.0296643 0.102474 1.10806 2
21.7 0.0220022 0.0107772 0.0196715 -0.0232478 -0.0236367 0.331654 1.12998 2
21.72 0.0180535 0.0104944 0.0107937 -0.0175929 -0.0154778 0.473606 1.16744 2
21.74 0.00984443 0.0134057 0.00728675 -0.0122522 -0.00757217 0.548845 1.18062 2
21.76 0.0126653 0.0195548 0.00689786 -0.00534071 0.000483854 0.63699 1.20103 2
21.78 -0.00160243 0.0174879 -0.00278579 0.00345575 0.0098494 0.713009 1.22053 2
21.8 -0.0150336 0.0157546 -0.0101363 0.0131947 0.0197381 0.706628 1.24725 2
21.82 0.00283164 0.0217227 -0.00837599 0.021677 0.028895 0.691747 1.26747 2
21.84 -0.0147131 0.0202341 -0.0147716 0.0289027 0.0371767 0.696138 1.28188 2
21.86 -0.0179132 0.0173539 -0.0200632 0.0348717 0.0438716 0.630987 1.30443 2
21.88 -0.0134669 0.019958 -0.0184092 0.0398982 0.0488006 0.56799 1.32347 2
21.9 -0.0167196 0.0198881 -0.0204062 0.0458673 0.0535824 0.539265 1.34784 2
21.92 -0.0207303 0.0170318 -0.0243261 0.0508938 0.0580461 0.474606 1.35711 2
21.94 -0.0205229 0.016221 -0.0249877 0.0537212 0.0611452 0.398794 1.38073 2
21.96 -0.015986 0.0177284 -0.0227359 0.0549779 0.0624861 0.347949 1.40387 2
21.98 -0.025095 0.0134094 -0.0257445 0.0549779 0.062504 0.284351 1.41624 2
22 -0.0154801 0.0127955 -0.0236587 0.0549779 0.0614665 0.20005 1.44202 2
22.02 -0.0118777 0.014688 -0.0202449 0.055292 0.0604419 0.173233 1.46196 2
22.04 -0.0291193 0.00951864 -0.0250027 0.0556062 0.0599442 0.15393 1.46651 2
22.06 -0.0264676 0.00449775 -0.0272751 0.0537212 0.0582521 0.0629741 1.49133 2
22.08 -0.0179072 0.00423993 -0.0231319 0.0502655 0.0545234 -0.0289258 1.502 2
22.1 -0.0112743 0.0085572 -0.0156649 0.047438 0.0504313 -0.0415302 1.51529 2
22.12 -0.0219556 0.00583286 -0.0174767 0.0458673 0.0477259 -0.0219641 1.53424 2
22.14 -0.0193416 0.00228299 -0.0196344 0.0442965 0.0456471 -0.0475847 1.54924 2
22.16 -0.014018 0.00186929 -0.01797 0.0420973 0.0431642 -0.0830034 1.55346 2
22.18 -0.012624 0.00249406 -0.0152196 0.0389557 0.0400701 -0.0997485 1.57695 2
22.2 -0.0170632 0.00335235 -0.0130028 0.0361283 0.0370281 -0.0829289 1.60223 2
22.22 -0.0101665 0.00077392 -0.0144218 0.0342434 0.0346187 -0.0902998 1.60828 2
22.24 -0.0197865 -0.00216206 -0.0160957 0.0326726 0.0323656 -0.110649 1.62373 2
22.26 -0.0140289 -0.000549716 -0.0130997 0.0304734 0.0300891 -0.122261 1.63429 2
22.28 -0.00854165 0.000156159 -0.0110757 0.0273319 0.0274464 -0.1205 1.64453 2
22.3 -0.0108408 0.000813197 -0.00947354 0.0248186 0.0248858 -0.102808 1.65043 2
22.32 -0.0162461 -0.00177658 -0.011317 0.0229336 0.0226924 -0.09883 1.66176 2
22.34 -0.0078365 -8.24432e-05 -0.00914474 0.0219911 0.0211513 -0.0919351 1.6684 2
22.36 -0.010519 -0.00251055 -0.0113034 0.0204204 0.0198131 -0.0949127 1.67502 2
22.38 -0.00673799 -0.00242654 -0.0101576 0.0185354 0.0180103 -0.110666 1.68717 2
22.4 -0.00927932 -0.00128404 -0.00826998 0.0163363 0.0160115 -0.0989847 1.69551 2
22.42 -0.0129407 -0.00399049 -0.0101999 0.0144513 0.0140479 -0.101409 1.70513 2
22.44 -0.0100638 -0.00560884 -0.010523 0.0125664 0.0119984 -0.123409 1.7156 2
22.46 -0.00729357 -0.00373495 -0.00749933 0.0109956 0.00998596 -0.129227 1.7303 2
22.48 -0.00614726 -0.00487982 -0.00771003 0.00879646 0.00791793 -0.130467 1.73812 2
22.5 -0.00402403 -0.00650745 -0.00785823 0.00628319 0.00553261 -0.147715 1.73349 2
22.52 -0.00569161 -0.00472934 -0.00469218 0.00376991 0.00299354 -0.142281 1.75634 2
22.54 -0.00432888 -0.00427352 -0.0037979 0.00219911 0.00112738 -0.118474 1.75512 2
22.56 -0.00472728 -0.0057656 -0.00490955 0.000942478 -0.000329796 -0.112831 1.75454 2
22.58 -0.00248401 -0.00414954 -0.00313864 0 -0.00139762 -0.100451 1.76848 2
22.6 -0.00506269 -0.00428682 -0.00339547 -0.00125664 -0.00232195 -0.0820074 1.77228 2
22.62 -0.00507042 -0.00519415 -0.00424807 -0.00251327 -0.00324317 -0.0719041 1.77587 2
22.64 0.00128503 -0.00526393 -0.0036605 -0.00345575 -0.0042871 -0.0846154 1.78717 2
22.66 0.00386743 -0.000901686 0.000620155 -0.00376991 -0.00495985 -0.0597093 1.78721 2
22.68 -0.00245429 -0.000636794 -0.000566319 -0.00376991 -0.00470915 -0.0104867 1.79763 2
